"dispute_id","description","category"
"D119","I have a charge here that I am questioning the validity of.","FRAUD"
"D120","This payment was for a product I returned, but the merchant won't refund me.","FRAUD"
"D121","This charge is for a significantly different amount than what was on the receipt.","FRAUD"
"D122","I was promised a refund that never came, now I believe the whole thing was a scam.","FRAUD"
"D123","The item I bought was a counterfeit. The merchant is unresponsive.","FRAUD"
"D124","I suspect an employee at a restaurant copied my card details.","FRAUD"
"D125","This transaction does not correspond to any of my recent activities.","FRAUD"
"D126","A payment was taken from my account for an order that was immediately cancelled.","FRAUD"
"D127","I am seeing a debit that I do not believe I am responsible for.","FRAUD"
"D128","This seems to be a hidden charge from a booking I made online.","FRAUD"
"D129","The merchant is not providing the service as advertised and refuses a refund.","FRAUD"
"D130","I don't remember entering my card details on this website.","FRAUD"
"D131","This transaction is highly unusual for my account. Please look into it.","FRAUD"
"D132","The amount was supposed to be in local currency, but it was charged in USD.","FRAUD"
"D133","This charge is from a vendor whose name I don't recognize.","FRAUD"
"D134","I'm disputing this fee. It was not disclosed to me at the time of purchase.","FRAUD"
"D135","I believe this merchant is engaging in deceptive billing practices.","FRAUD"
"D136","I have a strange charge from 'Miscellaneous Goods' that I can't place.","FRAUD"
"D137","My card was charged, but I never received a confirmation email or product.","FRAUD"
"D138","The final price was much higher than what was shown in the cart.","FRAUD"
"D139","This debit happened overnight from a merchant I've never used.","FRAUD"
"D140","I'm concerned my account information may have been compromised.","FRAUD"
"D141","I can't find any record of this transaction in my email or order history.","FRAUD"
"D142","I was overcharged for this service. The agreed price was lower.","FRAUD"
"D143","This transaction is suspicious because I haven't used this card in over a year.","FRAUD"
"D144","I'm questioning a debit on my account statement.","FRAUD"
"D145","A company I blocked has charged me again using a different name.","FRAUD"
"D146","The product quality was so poor it's practically a scam. I want a chargeback.","FRAUD"
"D147","I have an unexpected charge from a digital service I don't use.","FRAUD"
"D148","This merchant's website seemed legitimate, but they never shipped my item.","FRAUD"
"D149","This fee is not part of my agreement with the service provider.","FRAUD"
"D150","The charge is for a different product than the one I added to my cart.","FRAUD"
"D151","I'm not familiar with this transaction and would like to dispute it.","FRAUD"
"D152","This charge seems to be related to a pop-up I clicked on by mistake.","FRAUD"
"D153","I've been charged for a membership I didn't sign up for.","FRAUD"
"D154","The service was terrible and not as promised. The company feels like a fraud.","FRAUD"
"D155","This charge is from a foreign company I have no dealings with.","FRAUD"
"D156","I'm raising a dispute for a charge that I don't believe is valid.","FRAUD"
"D157","This merchant added unauthorized items to my bill.","FRAUD"
"D158","I was told the payment didn't go through, so I paid again. Now I see both charges.","FRAUD"
"D159","The item arrived broken, and the seller has since closed their store.","FRAUD"
"D160","This charge is for a higher amount than my pre-authorization.","FRAUD"
"D161","The service provided was not as described, I want my money back.","FRAUD"
"D162","This merchant has charged me again for something I bought last month.","FRAUD"
"D163","I'm not happy with this purchase. It feels like I was misled.","FRAUD"
"D164","I am disputing the quality of the goods received for this transaction.","FRAUD"
"D165","The merchant is refusing to honor their return policy.","FRAUD"
"D166","I cancelled this order within minutes, why was I still charged?","FRAUD"
"D167","This charge is related to a service that didn't work. The company won't reply.","FRAUD"
"D168","I paid for express shipping but the item never arrived.","FRAUD"
"D169","The final bill was padded with extra charges I did not approve.","FRAUD"
"D170","This transaction was for a pre-order of a product that was never released.","FRAUD"
"D171","I want to reverse this payment, the business is a sham.","FRAUD"
"D172","The amount debited is wrong. It should have been much less.","FRAUD"
"D173","I have a problem with a recent transaction. The merchant is being difficult.","FRAUD"
"D174","This company's advertising was completely false. I want a chargeback.","FRAUD"
"D175","I've been double-billed for my monthly subscription this month.","FRAUD"
"D176","The product I received is a cheap knock-off. This is not what I paid for.","FRAUD"
"D177","This hotel charged my card for mini-bar items I did not consume.","FRAUD"
"D178","I have an issue with a charge from a rental car company. The fees are not right.","FRAUD"
"D179","The consultant I paid did not provide the services promised.","FRAUD"
"D180","I am requesting a chargeback because the merchant has gone out of business.","FRAUD"
"D181","This charge is related to an unresolved issue I have with the vendor.","FRAUD"
"D182","They charged me a 'non-refundable deposit' for a service that was cancelled.","FRAUD"
"D183","The digital course I purchased is of extremely low quality and not as advertised.","FRAUD"
"D184","This looks like the same transaction I disputed last month from the same merchant.","FRAUD"
"D185","I was charged for a full year's subscription when I only wanted one month.","FRAUD"
"D186","The seller sent an empty box. I have been scammed.","FRAUD"
"D187","This airline charged me for baggage that should have been free.","FRAUD"
"D188","I'm raising this dispute as my attempts to resolve with the merchant have failed.","FRAUD"
"D189","The software I bought doesn't work and the seller won't issue a refund.","FRAUD"
"D190","This charge is incorrect. Please investigate this billing error.","FRAUD"
"D191","The price tag said one thing, my statement says another.","FRAUD"
"D192","I believe I was deliberately overcharged at this restaurant.","FRAUD"
"D193","This repair shop charged me for work that was not performed.","FRAUD"
"D194","I have been billed for a service after my contract had already ended.","FRAUD"
"D195","The event I bought tickets for was cancelled, but the organizer is not refunding.","FRAUD"
"D196","I want to dispute this payment. The goods were not authentic.","FRAUD"
"D197","A strange charge appeared on my account after using a public Wi-Fi.","FRAUD"
"D198","The gym is still charging my card even after I cancelled my membership in writing.","FRAUD"
"D199","I'm challenging this transaction as the services rendered were incomplete.","FRAUD"
"D200","The company made unauthorized withdrawals after I cancelled my authorization.","FRAUD"
"D201","The subscription was much harder to cancel than to sign up for, seems intentional.","FRAUD"
"D202","This vendor is non-communicative after taking my money.","FRAUD"
"D203","A payment was processed on my card for a purchase I decided not to make.","FRAUD"
"D204","The terms of service were changed without notice leading to this charge.","FRAUD"
"D205","I'm unhappy with the resolution offered by the merchant for a faulty product.","FRAUD"
"D206","I returned the rental equipment on time but was charged a late fee.","FRAUD"
"D207","There's a discrepancy in the amount I was supposed to be charged for this hotel stay.","FRAUD"
"D208","I am filing a complaint against this merchant for unethical business practices.","FRAUD"
"D209","This charge is for a 'free' gift that I was asked to pay shipping for, but nothing came.","FRAUD"
"D210","I'm disputing this because the merchant is refusing to send a proper invoice.","FRAUD"
"D211","The product stopped working after a day and the seller is ignoring me.","FRAUD"
"D212","This donation was supposed to be a one-time thing, not monthly.","FRAUD"
"D213","I have evidence that this merchant is running a bait-and-switch scam.","FRAUD"
"D214","The charge is from an app that my kid downloaded. They shouldn't be allowed to charge.","FRAUD"
"D215","I am not paying for this, the item delivered was not what was pictured online.","FRAUD"
"D216","This company has a history of scamming customers, which I found out too late.","FRAUD"
"D217","The workshop I paid for was a complete waste of money and a fraud.","FRAUD"
"D218","I'm being charged for a cloud service I deleted my account from months ago.","FRAUD"
"D219","The amount charged is higher than the estimate I was given.","FRAUD"
"D220","This bill contains charges for services I explicitly declined.","FRAUD"
"D221","I was charged twice for the same meal at the restaurant.","DUPLICATE_CHARGE"
"D222","My card was swiped two times for the same purchase at the supermarket.","DUPLICATE_CHARGE"
"D223","Received two SMS alerts for the exact same transaction amount and merchant.","DUPLICATE_CHARGE"
"D224","This is a duplicate charge. I only made one online order.","DUPLICATE_CHARGE"
"D225","I got double-billed for my monthly internet subscription.","DUPLICATE_CHARGE"
"D226","The exact same UPI payment was debited from my account twice.","DUPLICATE_CHARGE"
"D227","Please reverse one of these charges, they are duplicates.","DUPLICATE_CHARGE"
"D228","The merchant charged me again for the same item minutes after the first charge.","DUPLICATE_CHARGE"
"D229","My statement shows two identical charges from the same vendor on the same day.","DUPLICATE_CHARGE"
"D230","I was billed two times for a single tank of petrol.","DUPLICATE_CHARGE"
"D231","This is a clear duplicate transaction, please refund one.","DUPLICATE_CHARGE"
"D232","My credit card was charged twice for one hotel booking.","DUPLICATE_CHARGE"
"D233","I have two debits for the same QR code scan.","DUPLICATE_CHARGE"
"D234","Why was my account charged twice for the same utility bill payment?","DUPLICATE_CHARGE"
"D235","The POS machine seemed faulty and the cashier swiped my card twice.","DUPLICATE_CHARGE"
"D236","Reporting a duplicate debit for my monthly gym membership.","DUPLICATE_CHARGE"
"D237","I paid my EMI, but the amount was deducted two times.","DUPLICATE_CHARGE"
"D238","This is a duplicate charge, identical to the one right above it on my statement.","DUPLICATE_CHARGE"
"D239","The food delivery app charged me twice for a single order.","DUPLICATE_CHARGE"
"D240","I'm seeing a double charge for my recent online purchase.","DUPLICATE_CHARGE"
"D241","One transaction, but two charges. Please fix this.","DUPLICATE_CHARGE"
"D242","I was charged twice for the same set of movie tickets.","DUPLICATE_CHARGE"
"D243","The exact same amount was debited twice by the same company, one second apart.","DUPLICATE_CHARGE"
"D244","This is a duplicate. I only authorized one payment.","DUPLICATE_CHARGE"
"D245","My monthly software subscription was billed twice this month.","DUPLICATE_CHARGE"
"D246","I used my card once, but the statement shows two charges.","DUPLICATE_CHARGE"
"D247","A duplicate payment was made to the same UPI ID.","DUPLICATE_CHARGE"
"D248","Please refund the second charge, it's a duplicate.","DUPLICATE_CHARGE"
"D249","The toll booth charged my FASTag twice for the same crossing.","DUPLICATE_CHARGE"
"D250","I need to dispute one of these two identical charges.","DUPLICATE_CHARGE"
"D251","There are two debits for my one-time doctor's appointment fee.","DUPLICATE_CHARGE"
"D252","I was accidentally charged twice by the barista.","DUPLICATE_CHARGE"
"D253","My card was billed two times for a single online course.","DUPLICATE_CHARGE"
"D254","This is a straightforward duplicate billing error.","DUPLICATE_CHARGE"
"D255","I'm requesting a reversal of a duplicate charge from my recent shopping.","DUPLICATE_CHARGE"
"D256","The app processed my payment twice for the same ride.","DUPLICATE_CHARGE"
"D257","I have been charged twice for the same mobile recharge.","DUPLICATE_CHARGE"
"D258","A clear case of a double charge. The transaction IDs are almost identical.","DUPLICATE_CHARGE"
"D259","Please look into this, I've been charged twice for the same service.","DUPLICATE_CHARGE"
"D260","The parking meter charged my card two times.","DUPLICATE_CHARGE"
"D261","This is a duplicate debit. I only bought one item.","DUPLICATE_CHARGE"
"D262","My account shows two payments for my electricity bill.","DUPLICATE_CHARGE"
"D263","I paid once, but it shows up twice on my bank activity.","DUPLICATE_CHARGE"
"D264","The system charged me twice for my annual membership renewal.","DUPLICATE_CHARGE"
"D265","I'm reporting a duplicate transaction that occurred yesterday.","DUPLICATE_CHARGE"
"D266","Got charged twice at the drive-thru.","DUPLICATE_CHARGE"
"D267","There's a duplicate of a charge from three days ago.","DUPLICATE_CHARGE"
"D268","A second charge appeared for a payment I made this morning.","DUPLICATE_CHARGE"
"D269","My insurance premium was deducted twice this month.","DUPLICATE_CHARGE"
"D270","I would like to dispute this second charge as it is a duplicate.","DUPLICATE_CHARGE"
"D271","The vending machine charged me twice for one snack.","DUPLICATE_CHARGE"
"D272","Two debits with the same merchant and amount. This is a duplicate.","DUPLICATE_CHARGE"
"D273","My rent payment was processed twice by the property manager.","DUPLICATE_CHARGE"
"D274","I've been double-charged for a digital download.","DUPLICATE_CHARGE"
"D275","This charge is an exact copy of another one.","DUPLICATE_CHARGE"
"D276","The pharmacy charged my card twice for my prescription.","DUPLICATE_CHARGE"
"D277","I only have one car, but was charged twice for the car wash.","DUPLICATE_CHARGE"
"D278","Please remove one of these duplicate entries from my statement.","DUPLICATE_CHARGE"
"D279","A second unauthorized payment was taken for my order.","DUPLICATE_CHARGE"
"D280","I am being billed twice for the same monthly cloud storage fee.","DUPLICATE_CHARGE"
"D281","The cab fare was charged to my card two times.","DUPLICATE_CHARGE"
"D282","My card was charged twice in quick succession at the same terminal.","DUPLICATE_CHARGE"
"D283","This is a duplicate transaction that needs to be refunded.","DUPLICATE_CHARGE"
"D284","I only ordered one pizza, not two. Why was I charged twice?","DUPLICATE_CHARGE"
"D285","I have two charges for the same consultation fee.","DUPLICATE_CHARGE"
"D286","The online portal double-charged me for a government service fee.","DUPLICATE_CHARGE"
"D287","Please investigate; I have a duplicate charge from this merchant.","DUPLICATE_CHARGE"
"D288","I tapped my card once, but I see two charges.","DUPLICATE_CHARGE"
"D289","This is a repeat charge for a service I paid for last week.","DUPLICATE_CHARGE"
"D290","I was charged twice for a single item from an in-flight purchase.","DUPLICATE_CHARGE"
"D291","The cashier said the first payment didn't go through, so I paid again. Now I see both.","DUPLICATE_CHARGE"
"D292","I see two similar charges from the same company on the same day.","DUPLICATE_CHARGE"
"D293","The website gave me an error, so I hit 'submit' again. It looks like both went through.","DUPLICATE_CHARGE"
"D294","There's a charge for an order, and then another identical charge a minute later.","DUPLICATE_CHARGE"
"D295","I'm not sure why there are two debits for this service. I only used it once.","DUPLICATE_CHARGE"
"D296","My app froze during payment, so I restarted and paid. Now I see two debits.","DUPLICATE_CHARGE"
"D297","Can you explain these two transactions? They look the same to me.","DUPLICATE_CHARGE"
"D298","The first tap of my card showed 'declined', so I tapped again. Both were charged.","DUPLICATE_CHARGE"
"D299","I tried to make a payment and it failed, but the amount was debited. I tried again and it was debited again.","DUPLICATE_CHARGE"
"D300","There is a charge, and then another charge for the exact same amount to the same merchant.","DUPLICATE_CHARGE"
"D301","I see an authorization and a separate charge for the same purchase.","DUPLICATE_CHARGE"
"D302","I think the system glitched and processed my payment twice.","DUPLICATE_CHARGE"
"D303","My card was charged for my groceries, and then again for the same amount.","DUPLICATE_CHARGE"
"D304","I have two charges from this airline for what should be a single ticket.","DUPLICATE_CHARGE"
"D305","The payment terminal was slow, so the clerk ran my card a second time.","DUPLICATE_CHARGE"
"D306","I'm seeing two debits for my subscription. I should only have one.","DUPLICATE_CHARGE"
"D307","This charge is very similar to another one on my account. Is it an error?","DUPLICATE_CHARGE"
"D308","I paid for my order, but was then charged again upon delivery for the same order.","DUPLICATE_CHARGE"
"D309","The first attempt to pay with QR code failed, the second worked. But I was charged for both.","DUPLICATE_CHARGE"
"D310","Why am I seeing two back-to-back payments to this online store?","DUPLICATE_CHARGE"
"D311","A payment was taken, then reversed, then taken again. But the reversal is not showing.","DUPLICATE_CHARGE"
"D312","I'm questioning these two charges. They have the same reference number.","DUPLICATE_CHARGE"
"D313","I was billed for this service on the 1st and then again on the 3rd.","DUPLICATE_CHARGE"
"D314","The website crashed during payment. I think my order was processed twice.","DUPLICATE_CHARGE"
"D315","I see two charges from this hotel - one at check-in and one at check-out for the same amount.","DUPLICATE_CHARGE"
"D316","I had to enter my PIN twice. It looks like I was charged twice.","DUPLICATE_CHARGE"
"D317","There is a pending charge and a posted charge for the same transaction.","DUPLICATE_CHARGE"
"D318","I thought the first transaction was cancelled, but I was charged for it and a new one.","DUPLICATE_CHARGE"
"D319","This looks like a system error that resulted in a second charge.","DUPLICATE_CHARGE"
"D320","The total on my statement is double what I actually spent at this shop.","DUPLICATE_CHARGE"
"D321","I'm concerned about two identical amounts being debited consecutively.","DUPLICATE_CHARGE"
"D322","I was billed for my coffee, and then received another charge from the same cafe an hour later.","DUPLICATE_CHARGE"
"D323","My automatic bill payment went through, but I also paid it manually.","DUPLICATE_CHARGE"
"D324","These two charges are identical. Please verify if one is a mistake.","DUPLICATE_CHARGE"
"D325","The internet was down, so I think my payment was sent twice when it came back on.","DUPLICATE_CHARGE"
"D326","I authorized a single payment, not two. Please investigate.","DUPLICATE_CHARGE"
"D327","This merchant appears to have processed my payment on two different systems.","DUPLICATE_CHARGE"
"D328","I have a charge from the 5th and a similar one from the 6th that I don't recognize.","DUPLICATE_CHARGE"
"D329","I think I was charged for the original item and for the exchanged item.","DUPLICATE_CHARGE"
"D330","A manual swipe and a chip read seem to have both been charged for my dinner.","DUPLICATE_CHARGE"
"D331","There's one receipt in my hand, but two debits on my account.","DUPLICATE_CHARGE"
"D332","I'm disputing a second charge that appeared after I had already left the store.","DUPLICATE_CHARGE"
"D333","The amount for my booking was taken, and then it looks like it was taken again.","DUPLICATE_CHARGE"
"D334","I'm unsure if this is a separate purchase or a mistaken double charge.","DUPLICATE_CHARGE"
"D335","My phone sent the payment request twice due to a network issue.","DUPLICATE_CHARGE"
"D336","This company charged me for this month's service, and then again a day later.","DUPLICATE_CHARGE"
"D337","The card reader was acting up. I believe it resulted in two charges.","DUPLICATE_CHARGE"
"D338","I see two charges for the same amount with slightly different timestamps.","DUPLICATE_CHARGE"
"D339","A payment was made, and then another was made automatically for the same invoice.","DUPLICATE_CHARGE"
"D340","I have a feeling I was billed twice. Can you check these two transactions?","DUPLICATE_CHARGE"
"D341","I'm seeing double on my statement for a recent purchase.","DUPLICATE_CHARGE"
"D342","The charge from this vendor appears twice in my recent activity.","DUPLICATE_CHARGE"
"D343","I have two charges related to a single rental agreement.","DUPLICATE_CHARGE"
"D344","I was charged for my ticket, and then my travel partner was also charged for my ticket.","DUPLICATE_CHARGE"
"D345","The amounts are the same, the merchant is the same. This must be an error.","DUPLICATE_CHARGE"
"D346","I paid my bill online, but it seems the auto-debit also went through.","DUPLICATE_CHARGE"
"D347","This transaction seems to have been posted to my account twice.","DUPLICATE_CHARGE"
"D348","I pressed the 'Pay Now' button only once, but I'm seeing two charges.","DUPLICATE_CHARGE"
"D349","Can you confirm if these two payments are for different services? They look identical.","DUPLICATE_CHARGE"
"D350","I suspect a technical issue has caused this duplicate billing.","DUPLICATE_CHARGE"
"D351","I'm concerned about a second, unexpected debit from this company.","DUPLICATE_CHARGE"
"D352","My account balance dropped by double the amount of my purchase.","DUPLICATE_CHARGE"
"D353","I was billed for this item at the time of order and then again at the time of shipping.","DUPLICATE_CHARGE"
"D354","I updated my payment details and it seems I was charged on both the old and new card.","DUPLICATE_CHARGE"
"D355","There is a duplicate of a transaction from earlier today.","DUPLICATE_CHARGE"
"D356","I made a payment via the app, and my wife also paid the same bill separately.","DUPLICATE_CHARGE"
"D357","This merchant's system seems to have a bug that charged me twice.","DUPLICATE_CHARGE"
"D358","I'm disputing what appears to be a redundant charge on my account.","DUPLICATE_CHARGE"
"D359","The subscription fee was taken out, and then a manual payment for it was also processed.","DUPLICATE_CHARGE"
"D360","There are two charges here that I believe are for the same service call.","DUPLICATE_CHARGE"
"D361","I have two charges from the same restaurant for different amounts, but I only ate there once.","DUPLICATE_CHARGE"
"D362","I was charged for a product, then for shipping in a separate, identical transaction.","DUPLICATE_CHARGE"
"D363","The merchant said the transaction was voided, but the charge is still there, along with a new one.","DUPLICATE_CHARGE"
"D364","I bought an item and then paid for gift wrapping. It looks like I was charged for the item twice.","DUPLICATE_CHARGE"
"D365","A pre-authorization charge was never removed after the final payment went through.","DUPLICATE_CHARGE"
"D366","My monthly payment was taken, and then another payment was taken after I updated my subscription plan.","DUPLICATE_CHARGE"
"D367","I paid a deposit, and now the final bill also includes the deposit amount.","DUPLICATE_CHARGE"
"D368","There is a charge from the company's main name and another from their payment processor for the same service.","DUPLICATE_CHARGE"
"D369","I paid my invoice, but I see a charge for the invoice and another for one of the line items on it.","DUPLICATE_CHARGE"
"D370","I was charged, the order was cancelled and I was charged again when I re-ordered. The first charge was never refunded.","DUPLICATE_CHARGE"
"D371","The total amount debited from my account is incorrect for this purchase. It's exactly double.","DUPLICATE_CHARGE"
"D372","I have a charge from 'SQUARE' and another from the coffee shop for the same time.","DUPLICATE_CHARGE"
"D373","My bill was split with a friend, but it looks like we were both charged the full amount.","DUPLICATE_CHARGE"
"D374","The merchant charged my corporate card and my personal card for the same business dinner.","DUPLICATE_CHARGE"
"D375","I paid for the rental car, but I'm also seeing a separate charge for the insurance which should have been included.","DUPLICATE_CHARGE"
"D376","I'm being charged for the same software license on a monthly and annual basis.","DUPLICATE_CHARGE"
"D377","There's a charge from the hotel and another from the booking website for the same stay.","DUPLICATE_CHARGE"
"D378","I have a charge for the item, and then another charge for the same amount with the description ' miscellaneous'.","DUPLICATE_CHARGE"
"D379","This medical bill was paid by me, but it also looks like my insurance paid it.","DUPLICATE_CHARGE"
"D380","I see a charge from the parent company and also from the local franchise for the same membership.","DUPLICATE_CHARGE"
"D381","The original charge and the currency conversion charge appear as two separate debits of the same value.","DUPLICATE_CHARGE"
"D382","My account was debited, but the payment is not reflecting in my order history, so I paid again.","DUPLICATE_CHARGE"
"D383","I paid the tip in cash, but it seems the restaurant also added it to my card transaction.","DUPLICATE_CHARGE"
"D384","There is a charge for 'Service Fee' and another for 'Consultation' which should be the same thing.","DUPLICATE_CHARGE"
